wine_alcohol,wine_category,wine_country,wine_description,wine_name,wine_point,wine_price,wine_region,wine_variety
20%,Port/Sherry,Portugal,"Heavy-duty tawny is what you have here. Big doses of liqueur and coffee make for a mature personality. Sports some Scotch whisky notes to accompany Middle Eastern spices. The slight metallic edge, especially on the finish, holds it back from greatness. If you like 'em big, this may be your Port. ",Warre's 1961 Reserve Tawny  (Port),89,111,Port,Port
13.5%,White,Chile,"This individualistic Chardonnay has a lot to offer. The nose is ripe, with floral, honey and even petrol notes and opens to a palate of tangerine and lychee nut-like flavors.  The mouthfeel is round and smooth; the sweet and sour finish, dry and spicy. Reminiscent of some Alsatian whites and worthy of notice for its flavorful uniqueness. ",Portal Del Alto 2000 Chardonnay (Maule Valley),87,7,Maule Valley,Chardonnay
N/A,Red,US,"Dark purple in color, this wine begins with earthy, cardboard aromas and turns dense and Port-like in the mouth. The palate sensations are of tannins, acidity, weight and heat. The finish is thin and alcoholic. ",Homewood 1997 Kunde Vineyard Zinfandel (Sonoma Valley),82,16,California,Zinfandel
12%,Red,Italy,"Dried cherries, bay leaves and a whiff of smoked bacon tease the nose. The mouthfeel is hefty and tannic, but there is little fruit to support it. The finish is dusty and dry. ",La Casa Dell'Orco 1996  Taurasi,83,25,Southern Italy,Red Blends
N/A,Port/Sherry,US, ,Peachy Canyon NV Mustang Springs Ranch Port Zinfandel (Paso Robles),85,40,California,Zinfandel
20%,Port/Sherry,Portugal,"Raw and wild best describe this plum-packed sweetie, which has all the elements of the real thing, i.e., vintage Port, but not much style or polish. On the plus side, the finish isn't too hot or heavy, and overall it's fairly seamless. ",Churchill's NV Vintage Character Port (Douro),86,17,Douro,Port
N/A,Red,US,"Smells curiously inert, with a hint of Port and currants and oak. The flavors are much less fruity than the winery's regular Syrah, veering toward prunes, herbs and earth. It's very dry. The finish is spartan and scouring. ",Robert Hall 1999 Huerhuero Creek Syrah (Paso Robles),84,26,California,Syrah
N/A,Port/Sherry,Portugal,"Bottled unfiltered, Noval's LBV is dry in style, with concentrated fruit. With the fruit quality, it should be great, but it is spoiled by the brandy, which is too prominent, and by a layer of lean tannins. —R.V. ",Quinta do Noval 1997 LBV Bottled 2001 Port (Douro),85,23,Douro,Port
N/A,Port/Sherry,Portugal,"While this is typical of the Dow's style, with its dryness and structure, it also has great elegance. That dryness is balanced with the fine, ripe dark berry fruit flavors and by the fresh acidity that tops it off. —R.V. ",Dow's 1996 LBV Bottled 2002 Port (Douro),90,20,Douro,Port
19%,Dessert,Australia,"Ferrari claims that this “Port” is good chilled, in shot glasses, and served alongside crème brûlée—and we'd be hard pressed to disagree, though it'd probably be just as nice next to a roaring fire on a cold winter night. The wine is aged in 60-gallon hogsheads, which give it a buttery, butterscotchy quality. It's warming and smooth, like a Bourbon-meets-Port love child. ",Yalumba NV Antique Tawny Port (Barossa Valley),89,17,South Australia,Port
20%,Port/Sherry,Portugal,"Murky, earthy aromas make a mediocre first impression that's partly countered by raucous red berries and mellower caramel notes on the palate. ",Cockburn's NV Fine Tawny  (Port),82,12,Port,Red Blends
20%,Port/Sherry,Portugal,"A soft, easy tawny that represents a solid value, Portal's Reserve displays earthy, spicy characteristics and a warming finish. Cinnamon and white pepper notes add complexity. ",Quinta do Portal NV Tawny Reserve Porto  (Port),87,14,Port,Port
N/A,Red,Italy,"Aromas of superripe cherries burst from the glass, folding in notes of chocolate and pain grillé. The Sangiovese (100%) was clearly harvested very ripe, with an almost Port-like character to it and creamy tannins, but it still retains good acidity. ",Carpineto 1999 Poggio Sant'Enrico Sangiovese (Toscana),91,70,Tuscany,Sangiovese
N/A,Dessert,US,"A fine, full-bodied vintage Port, ready to drink now, with rich, sweet flavors of cassis, raspberry and chocolate truffle and a deliciously spicy finish. Completely addictive, a wine to savor after dinner is over and the hour grows late. ",Prager 1999 Port Petite Sirah (California),93,32,California,Petite Sirah
20%,Port/Sherry,Portugal,"Successfully marries young, grapy aromas with notes of maple syrup. The flavors are slightly pruny and raisiny, but an elegant overlay of caramel smoothes things out. This is a supple, easy-to-drink LBV for current consumption. ",Cockburn's 1996 LBC  (Port),85,20,Port,Port
N/A,Port/Sherry,Portugal,"This small jewel of an estate in the Torto Valley is owned by Cristiano van Zeller, who has transformed the vineyard. The 2001 is a rich, luxurious vintage Port, solid but shot through with ripe, concentrated fruit, flavors of dark plums and a dry aftertaste. ",Quinta Vale Dona Maria 2001 Vintage Port Port (Douro),92,55,Douro,Port
N/A,Port/Sherry,Portugal,"Incredibly juicy and fruit-filled, with mixed berries leading the charge, backed by cocoa, chocolate and dried spices. It's deceptively easy to drink now, but the structure should become more obvious in time. Côrte-Real considers it “one of the best vintages ever made.” Worth cellaring some for 50 years to see how it compares with the '27 and '55. Hold. ",Cockburn's 2000 Vintage Porto  (Port),92,90,Port,Port
N/A,Port/Sherry,Israel,"Made in the style of Port, this sweet red wine serves up spicy rich, raspberry, chocolate, coffee, plum, vanilla, tea and herb flavors, all couched in firm tannins. Toast and caramel frame the finish. Kosher ",Dalton NV Admon Portah Port (Galilee),87,16,Galilee,Port
N/A,Red,US,"Smells raw and unripe, with green, stalky aromas that are weirdly coupled with Port-like notes. In the mouth, it's semi-sweet, with a cough-medicine taste. ",Indian Springs 2001 Primavera Rossa Red (Nevada County),81,16,California,Red Blends
N/A,Red,US,"Soft, gentle and a little cooked. The cherry-berry aromas and flavors have an edge of raisins and Port. Yet the wine is fruity and silky and has some good varietal character. ",Kali Hart 2001 Pinot Noir (Monterey County),83,14,California,Pinot Noir
N/A,Port/Sherry,US,"This pleasant wine, while on the light side, still packs plenty of pleasure and class. The blackberry and herb flavors have a slightly green quality, emphasizing the tannins. Best consumed now. ",Rocca 2000 Syrah (Yountville),86,38,California,Syrah
N/A,Red,US,"Distinctly warm-country Zin, with its strong flavors of cassis, plum pudding and chocolate that come close to raisiny Port but successfully avoid it. As a result, it's a rich and complexly delicious wine. It's also very dry, and the alcohol is controlled. ",Carmenet 2001 Evangelho Vineyard Old Vine Zinfandel (Contra Costa County),89,20,California,Zinfandel
N/A,Red,US,"Smells aggressively green and stalky, then turns bizarrely sweet and Port-like. ",Novella 2000 Merlot (California),80,11,California,Merlot
N/A,Port/Sherry,US,"Made from traditional Port, this wine is rather like a good tawny. It's very sweet, with compellingly delicious dark chocolate, coffee, cherry pie and spicy flavors, and a smooth, mellow texture. Not an ager, so enjoy now. ",Renwood NV Port (Sierra Foothills),88,15,California,Port
N/A,Port/Sherry,US,"Lush and sweet, with jammy black cherry, blackberry, coffee, chocolate, licorice and plum flavors. Finishes smoky and long. ",EOS 2001 Port Zinfandel (Paso Robles),90,28,California,Zinfandel
N/A,Port/Sherry,US,"A lush, rich  Port with a smooth texture and flavors that range from black cherry, blackberry, cassis, cinnamon, anise, chocolate, toffee, butterscotch and thyme. It's complex yet delightfully easy to drink. ",Pessagno 2000 Hames Valley Vineyard Port (Monterey),92,33,California,Port
N/A,Port/Sherry,Portugal,"This is a densely concentrated wine, powering through with tannins and dry concentration over the young black fruits. It's young, showing sweetness and acidity still coming into balance, but over the next 10 years it will develop well. ",Quinta do Portal 2000 Portal Vintage Port Port (Douro),89,33,Douro,Port
N/A,Red,Spain,"Violet in color, with a richness that's as visible as it is detectable in the mouth. Smoky, rubbery aromas dance around the boysenberry fruit that defines this warm-weather wine, which has 7% Mourvèdre in the blend. Flavors of berry syrup, chocolate cake and Port are bolstered by ample acids and tannins. ",Finca Sandoval 2001 Syrah (Tierra Manchuela),90,29,Central Spain,Syrah
N/A,Port/Sherry,US,"Richly textured with plump, ripe, silky tannins. The wine kicks off with a burst of chocolate, then settles down to reveal black cherry, cassis, backberry and spice flavors. Long and lush to the end. ",Jessup Cellars 1999 Port (Napa Valley),90,25,California,Port
19.5%,Port/Sherry,Portugal,"An immensely satisfying Port from one of the top single quinta vineyards. Crasto also makes table wines, and this shows in its finely structured Ports with firm tannins. Flavors of enticing nuts and spices give complexity to a wine which should last over the next 10-15 years. ",Quinta do Crasto 1995 Vintage Port (Douro),90,33,Douro,Port
N/A,Port/Sherry,Portugal,"This 1996 is finely poised, elegant, and has a sweetness and richness that makes it immediately appealing. But its fruit is shot through with tannins that suggest 10 years' aging potential. ",Quinta da Foz 1996 Vintage Port Port (Douro),90,50,Douro,Port
N/A,Port/Sherry,Portugal,"A rare category, Colheita Ports are vintage wines aged in barrel (this was aged for eight years before bottling in 2002). This gives a wine with huge concentration, dense flavors of sweet plums. The wood aging has softened the tannins, meaning that it is ready to drink. ",Quinta do Portal 1994 Colheita Port Port (Douro),90,28,Douro,Port
N/A,Port/Sherry,Portugal,"It is still very young, but this wine has enormous potential, with its black fruit, flavors of crushed blackberries and wild cherries and layers of dense tannins. Give it at least 15 years. ",Quinta do Crasto 2001 Vintage Port Port (Douro),90,63,Douro,Port
16%,Port/Sherry,US,"Decadance in a glass, a brutally delicious wine with flavors of cassis, sweet cherry pie, kirsch, and melted white chocolate sweetened with sugar. It's all framed in a texture of pure velvet. This heady dessert wine wears its high alcohol well. ",Saucelito Canyon 2001 Late Harvest Zinfandel (Arroyo Grande Valley),91,20,California,Zinfandel
20%,Port/Sherry,Portugal,"This wine is crammed full of honey and walnuts, accented by mixed berries. Fresh and lively, supple and smooth in the mouth, and not overly sweet despite ending on notes of maple syrup and roasted nuts. Much better than a bottle reviewed in the November 15, 2003 issue. ",Ramos-Pinto NV Quinta do Bom Retiro 20 Year Tawny  (Port),91,67,Port,Port
N/A,Port/Sherry,Portugal,"Although 40% of the blend of Cockburn's 2000 “classic” vintage Port is from Quinta dos Canais, enough high-quality wine remained to bottle a single-quinta Port as well. Canais is slightly lighter in color and in weight, yet still boasts wondrous aromas of blueberries, licorice and sun-warmed schist. The wine's red berries wrapped around a chocolaty core should be hitting their stride in only five years or so. ",Cockburn's 2000 Quinta dos Canais Vintage  (Port),91,60,Port,Port
